# file...... waterheater1.csv
# date...... Thu Jul 09 10:28:34 2015
# user...... RG
# host...... (null)
# target.... waterheater 4
# trigger... (none)
# interval.. -1
# limit..... 2880
# timestamp,tank_setpoint,thermostat_deadband,temperature,height,water_demand,demand,is_waterheater_on,actual_load,previous_load
2009-01-01 03:17:11 PST,+120,+4,+119.441,+1.51295,+0.15,+4+0j,+1,+4,+4
2009-01-01 03:20:00 PST,+120,+4,+121.948,+1.51295,+0.5,+4+0j,+1,+4,+4
2009-01-01 03:20:09 PST,+120,+4,+121.948,+1.51236,+0.5,+4+0j,+1,+4,+4
2009-01-01 03:23:57 PST,+120,+4,+121.948,+1.49728,+0.5,+4+0j,+1,+4,+4
2009-01-01 03:26:55 PST,+120,+4,+121.948,+1.48545,+0.5,+4+0j,+1,+4,+4
2009-01-01 03:30:00 PST,+120,+4,+121.948,+1.47318,+0.97,+4+0j,+1,+4,+4
2009-01-01 03:30:43 PST,+120,+4,+121.948,+1.44484,+0.97,+4+0j,+1,+4,+4
2009-01-01 03:33:41 PST,+120,+4,+121.948,+1.32743,+0.97,+4+0j,+1,+4,+4
2009-01-01 03:37:30 PST,+120,+4,+121.948,+1.17627,+0.97,+4+0j,+1,+4,+4
2009-01-01 03:40:00 PST,+120,+4,+121.948,+1.07711,+0,+4+0j,+1,+4,+4
2009-01-01 03:40:27 PST,+120,+4,+121.948,+1.09228,+0,+4+0j,+1,+4,+4
2009-01-01 03:44:16 PST,+120,+4,+121.948,+1.22106,+0,+4+0j,+1,+4,+4
2009-01-01 03:47:13 PST,+120,+4,+121.948,+1.32066,+0,+4+0j,+1,+4,+4
2009-01-01 03:51:03 PST,+120,+4,+121.948,+1.45029,+0,+4+0j,+1,+4,+4
2009-01-01 03:52:57 PST,+120,+4,+122.015,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 03:53:03 PST,+120,+4,+122.013,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 03:54:00 PST,+120,+4,+121.995,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 03:57:49 PST,+120,+4,+121.927,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 04:00:00 PST,+120,+4,+121.886,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 04:00:44 PST,+120,+4,+121.873,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 04:04:58 PST,+120,+4,+121.797,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 04:07:50 PST,+120,+4,+121.744,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 04:12:03 PST,+120,+4,+121.668,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 04:14:55 PST,+120,+4,+121.615,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 04:19:08 PST,+120,+4,+121.54,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 04:22:01 PST,+120,+4,+121.487,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 04:26:14 PST,+120,+4,+121.412,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 04:29:07 PST,+120,+4,+121.359,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 04:33:19 PST,+120,+4,+121.285,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 04:36:12 PST,+120,+4,+121.232,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 04:40:24 PST,+120,+4,+121.157,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 04:43:17 PST,+120,+4,+121.104,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 04:47:29 PST,+120,+4,+121.03,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 04:50:22 PST,+120,+4,+120.978,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 04:54:33 PST,+120,+4,+120.904,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 04:57:26 PST,+120,+4,+120.851,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 05:00:00 PST,+120,+4,+120.806,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 05:22:20 PST,+120,+4,+120.429,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 05:24:31 PST,+120,+4,+120.391,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 05:32:52 PST,+120,+4,+120.251,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 05:35:12 PST,+120,+4,+120.211,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 05:42:01 PST,+120,+4,+120.097,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 05:44:27 PST,+120,+4,+120.055,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 05:50:31 PST,+120,+4,+119.954,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 05:53:02 PST,+120,+4,+119.91,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 05:58:39 PST,+120,+4,+119.817,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 06:00:00 PST,+120,+4,+119.794,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 06:00:39 PST,+120,+4,+119.783,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 06:01:22 PST,+120,+4,+119.77,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 06:06:08 PST,+120,+4,+119.691,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 06:09:04 PST,+120,+4,+119.641,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 06:13:33 PST,+120,+4,+119.567,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 06:15:00 PST,+120,+4,+119.542,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 06:15:33 PST,+120,+4,+119.533,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 06:16:35 PST,+120,+4,+119.515,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 06:20:51 PST,+120,+4,+119.445,+1.51295,+0,+0+0j,+0,+0,+4
2009-01-01 06:23:59 PST,+120,+4,+119.391,+1.51295,+0,+0+0j,+0,+0,+4
